date,description,amount,category
06/04/2025 10:30:52,Teeth Cleaning - Dr. Smith's Office #6771,785.5,Health
06/04/2025 11:45:00,City Water Dept (Billing Dept),192.0,Utilities
06/04/2025 13:45:40,McDonald's - Dinner for Two,11.52,Dining
06/04/2025 17:15:00,Takeout Order at Panera Bread #9210,32.87,Dining
06/04/2025 18:00:00,Dry Cleaning at Style Cut Salon,86.41,Personal
06/05/2025 19:45:00,H&M Fashion (Gift Shop) #7544,48.27,Personal
06/06/2025 11:15:00,Vitamin World - Teeth Cleaning - Lab Facility,22.27,Health
06/06/2025 17:00:00,Burger Joint Financial District - Coffee & Pastry,46.71,Dining
06/06/2025 20:00:00,Barnes & Noble - Premium Plan - Online,126.75,Entertainment
06/07/2025 16:00:00,Amazon - Clothing & Accessories - Super Center #2819,130.5,Shopping
06/07/2025 20:15:00,Concert Event at Spotify #3336,55.02,Entertainment
06/08/2025 15:30:00,Comcast Internet - Monthly Plan,80.13,Utilities
06/08/2025 17:00:00,Aldi Downtown - Dairy Products #9129,46.74,Groceries
06/08/2025 19:45:00,IKEA - Outdoor Gear #1354,41.21,Shopping
06/09/2025 10:09:00,Target Eastside - Weekly Shopping,49.33,Groceries
06/10/2025 06:19:00,AutoWash Pro - Car Wash Premium #1714,55.1,Transportation
06/10/2025 14:45:00,Insurance Premium at Bright Dental,75.11,Health
06/10/2025 17:45:00,Weekend Trip - Amtrak,91.15,Transportation
06/10/2025 18:45:00,Rush Hour Ride - Bus Pass,1.59,Transportation
06/11/2025 09:30:00,Bus Pass - Toll Road - Station #42,40.18,Transportation
06/11/2025 10:45:16,Costco Downtown - Weekly Shopping,102.25,Groceries
06/11/2025 11:00:00,Moving Services at State Farm Insurance #7674,3357.75,Housing
06/11/2025 11:45:00,Moving Services - CleanPro Services,2096.99,Housing
06/12/2025 13:45:00,Amazon Books (Mobile App) #6499,102.25,Education
06/12/2025 15:00:00,Spotify - Family Plan,14.55,Entertainment
06/13/2025 09:15:00,CareNow Clinic - Supplements,79.36,Health
06/13/2025 10:17:00,Living Room Set - CleanPro Services,2434.25,Housing
06/13/2025 14:15:00,Ashley Furniture Showroom - Moving Services #2579,836.25,Housing
06/13/2025 15:15:16,Verizon Wireless - Installation #9589,266.5,Utilities
06/13/2025 19:15:00,Office Supplies at Nike,22.05,Shopping
06/14/2025 11:45:50,Plumbing Repair - State Farm Insurance #4271,2973.75,Housing
06/14/2025 14:30:00,CleanPro Services Local Moving - Monthly Rent #9379,1077.0,Housing
06/14/2025 17:15:45,Metro Transit - Car Wash Premium - Express Lane #2285,28.48,Transportation
06/15/2025 09:45:28,Meat & Seafood at Local Market,88.91,Groceries
06/15/2025 11:30:00,Pacific Gas & Electric - Monthly Bill,90.14,Utilities
06/15/2025 14:15:07,Home Depot (Marketplace),130.75,Shopping
06/15/2025 16:00:00,Health Plus Insurance - Supplements - Walk-in Clinic,393.0,Health
06/15/2025 20:30:00,Spotify (Streaming),14.19,Entertainment
06/15/2025 20:49:00,REI (Retail Park),128.95,Shopping
06/16/2025 11:45:34,Home Depot - Garden Supplies,75.62,Shopping
06/17/2025 11:42:00,Language Learning - Adobe Creative #5718,90.5,Education
06/17/2025 18:43:00,Bridge Authority Express Lane - Ride to Airport,65.68,Transportation
06/17/2025 21:19:00,Local Bistro (Main Square) #7219,5.59,Dining
06/18/2025 09:45:00,Swift Movers Loan #987654 - Home Insurance #4051,1667.75,Housing
06/18/2025 18:30:00,Toll Road at Yellow Cab #5726,58.27,Transportation
06/18/2025 21:30:00,Season Pass at Netflix,19.31,Entertainment
06/19/2025 06:00:00,Car Wash Premium - City Parking,66.07,Transportation
06/19/2025 09:00:43,Fresh Bread at Local Market,199.5,Groceries
06/19/2025 15:45:00,Monthly Bill at Natural Gas Co,56.79,Utilities
06/20/2025 08:00:00,AutoWash Pro (Shopping Mall) #6391,60.52,Transportation
06/20/2025 09:00:00,Target (Shopping Center),40.42,Groceries
06/20/2025 10:30:00,Waste Management (Customer Service) #6840,42.89,Utilities
06/20/2025 16:45:00,Dr. Smith's Office Walk-in Clinic - Prescription Refill #3482,31.28,Health
06/20/2025 18:30:00,Spotify - Annual Membership - Cinema 16 #7098,23.94,Entertainment
06/20/2025 22:32:00,Premium Plan - Barnes & Noble #4793,15.11,Entertainment
06/21/2025 09:15:27,Swift Movers - Plumbing Repair - Home Visit #2374,2417.99,Housing
06/21/2025 15:30:46,Cable One - Late Fee Waived,306.25,Utilities
06/21/2025 19:00:00,Walmart - Dairy Products #5271,181.0,Groceries
06/21/2025 19:15:30,Gas Fill-up - AutoWash Pro,46.8,Transportation
06/22/2025 09:30:51,Amtrak - Rush Hour Ride #4146,60.28,Transportation
06/22/2025 11:30:00,Verizon Wireless - Family Plan,194.04,Utilities
06/22/2025 11:51:00,Health Plus Insurance - Insurance Premium - Main Branch #7333,29.72,Health
06/22/2025 19:15:00,Lyft - Weekend Trip - Shopping Mall,62.86,Transportation
06/22/2025 20:00:00,Trader Joe's - Snacks & Beverages - North Branch,50.34,Groceries
06/22/2025 20:15:00,Whole Foods Market - Snacks & Beverages #7570,60.34,Groceries
06/23/2025 09:15:47,Software License at Skillshare,177.0,Education
06/23/2025 13:00:00,Late Night Snack - Local Bistro #9563,44.12,Dining
06/23/2025 21:30:59,Concert Event - GameStop #8576,30.66,Entertainment
06/24/2025 08:00:00,Catering at Chipotle #1174,66.24,Dining
06/24/2025 11:15:00,State Farm Insurance - Monthly Rent #3788,1775.99,Housing
06/24/2025 11:49:00,Electronics at Target #1710,82.71,Shopping
06/24/2025 20:30:00,Pizza Palace (Airport),50.06,Dining
06/25/2025 09:00:19,Office Depot Registrar Office - Library Fine,102.5,Education
06/25/2025 09:15:00,HOA Assessment - Property Management Co,2061.25,Housing
06/25/2025 10:15:00,Deep Cleaning at Swift Movers,3084.75,Housing
06/25/2025 11:22:00,Farm Fresh (North Branch),171.95,Groceries
06/25/2025 14:00:00,Gift Gallery (Craft Store),86.68,Personal
06/25/2025 18:00:00,Netflix Gaming Center - Gaming Bundle,18.23,Entertainment
06/26/2025 08:30:22,Costco Village Square - Weekly Shopping,111.25,Groceries
06/26/2025 13:30:00,Workshop Central Campus Bookstore - Training Program #2312,304.95,Education
06/26/2025 19:15:00,HBO Max - Gaming Bundle - Mall Cinema #8818,9.01,Entertainment
06/26/2025 19:30:00,Barnes & Noble - Gaming Bundle - Cinema 16,64.82,Entertainment
06/26/2025 20:00:00,Clothing & Accessories at Apple Store,272.99,Shopping
06/27/2025 11:00:22,Home Depot - Garden Supplies #3304,360.5,Shopping
06/27/2025 16:15:32,CareNow Clinic (Lab Facility) #6262,128.75,Health
06/27/2025 17:30:00,Gas Fill-up - Shell Gas,76.67,Transportation
06/27/2025 18:15:00,Disney+ Gaming Center - Live Performance,182.5,Entertainment
06/27/2025 19:30:00,Bridge Authority (Downtown),4.53,Transportation
06/28/2025 10:45:00,Home & Garden - Mortgage Payment,1120.25,Housing
06/28/2025 14:15:00,Personal Care - Target,143.95,Shopping
06/28/2025 15:15:00,Textbook Bundle at City Library,1025.95,Education
06/28/2025 15:18:00,Haircut & Style - Personal Care Plus,107.99,Personal
06/28/2025 16:30:00,PetSmart Main St Salon - Pet Food & Toys #9246,102.95,Personal
06/28/2025 21:30:00,Disney+ (Mall Cinema),56.47,Entertainment
06/29/2025 10:45:20,Safeway Downtown - Frozen Foods,49.0,Groceries
06/29/2025 14:15:54,Style Cut Salon - Spa Package - Day Spa,215.5,Personal
06/29/2025 19:00:00,Spotify (Cinema 16),144.95,Entertainment
06/29/2025 21:24:00,State University Study Group - Textbook Bundle #8617,102.23,Education
06/30/2025 14:15:00,Wellness Therapy - Monthly Membership,29.79,Health
06/30/2025 19:15:00,Clothing & Accessories - REI #1952,125.75,Shopping
07/01/2025 06:15:32,Toll Road - Yellow Cab #3935,11.94,Transportation
07/01/2025 10:00:00,FitLife Gym - Monthly Membership,51.83,Health
07/01/2025 11:30:00,Health Plus Insurance - Premium,268.7,Health
07/01/2025 11:32:27,Late Fee Waived - Comcast Internet #4399,201.5,Utilities
07/01/2025 14:00:00,Cable One Meter Reading - Emergency Repair,91.68,Utilities
07/01/2025 14:30:00,City Water Dept - Service Charge,47.55,Utilities
07/01/2025 14:30:00,Property Management Co - Monthly Rent,1778.22,Housing
07/01/2025 15:30:00,First National Bank - Mortgage Payment,2211.62,Housing
07/01/2025 18:00:50,Frozen Foods - Whole Foods Market,171.25,Groceries
07/01/2025 18:15:00,Personal Care - Bliss Spa #5493,114.5,Personal
07/01/2025 21:30:31,Concert Event at Ticketmaster #1902,13.94,Entertainment
07/02/2025 11:15:00,First National Bank - Home Insurance #9346,1356.95,Housing
07/02/2025 11:45:00,State University (Registrar Office) #5945,248.0,Education
07/02/2025 15:00:22,Service Upgrade at Verizon Wireless #9839,58.7,Utilities
07/02/2025 16:30:00,Sports Equipment at Apple Store,340.0,Shopping
07/02/2025 16:45:29,Best Buy - Electronics,102.95,Shopping
07/02/2025 20:00:00,Tuition Payment at State University,456.95,Education
07/03/2025 15:30:00,Netflix - Premium Plan,16.52,Entertainment
07/03/2025 19:54:00,Spotify Digital Platform - Digital Content #4623,204.95,Entertainment
07/04/2025 11:15:00,Costco - Organic Produce - Highway 101 #5959,198.75,Groceries
07/04/2025 15:15:00,Greenwood HOA Residential - Property Tax,688.0,Housing
07/04/2025 15:30:00,Beauty Products at Gift Gallery,18.87,Personal
07/04/2025 19:00:31,Fuel & Snacks at Bus Pass #2160,36.32,Transportation
07/04/2025 19:15:00,GameStop Digital Platform - Premium Plan,56.14,Entertainment
07/04/2025 20:15:00,Disney+ - Movie Tickets - Arena,31.02,Entertainment
07/05/2025 10:15:18,Natural Gas Co - Equipment Rental - Meter Reading #3599,96.23,Utilities
07/05/2025 18:15:00,Walmart - Weekly Shopping - Mall Plaza,125.99,Groceries
07/05/2025 20:30:42,McDonald's Financial District - Catering,74.16,Dining
07/05/2025 20:45:00,Amazon Books - Online Course,1422.75,Education
07/06/2025 08:45:00,Farm Fresh - Weekly Shopping - Mall Plaza,124.99,Groceries
07/06/2025 13:45:00,McDonald's - Takeout Order,89.39,Dining
07/06/2025 14:00:06,Cable One - Installation - Field Service #7746,371.0,Utilities
07/06/2025 14:15:00,Quick Wash Laundry - Pet Food & Toys - Sports Store #2087,46.36,Personal
07/06/2025 18:15:00,PetSmart Fashion District - Pet Food & Toys,50.93,Personal
07/06/2025 21:15:00,Local Bistro - Catering - Airport,46.11,Dining
07/06/2025 22:17:00,Netflix (Store #789) #8275,53.07,Entertainment
07/07/2025 10:15:00,Dick's Sporting Goods Laundromat - Beauty Products,41.25,Personal
07/07/2025 11:30:00,Apple Store Online Order - Outdoor Gear #1149,75.48,Shopping
07/07/2025 19:15:00,REI - Books & Media,50.94,Shopping
07/08/2025 11:30:00,Comcast Internet - Monthly Plan,83.82,Utilities
07/08/2025 14:45:00,Textbook Bundle at State University,184.99,Education
07/08/2025 20:30:00,GameStop - Digital Content - Online,17.67,Entertainment
07/09/2025 07:45:00,Bridge Authority - Ride to Airport,27.11,Transportation
07/09/2025 10:15:00,CVS Pharmacy - Insurance Premium,140.99,Health
07/09/2025 10:52:48,Natural Gas Co - Monthly Bill - Regional Office,191.0,Utilities
07/09/2025 11:28:00,State University - School Supplies - Main Library,172.25,Education
07/09/2025 16:45:00,Hobby Lobby Day Spa - Dry Cleaning,36.67,Personal
07/10/2025 16:15:00,Personal Care Plus Fashion District - Pet Food & Toys,80.04,Personal
07/10/2025 19:30:00,Nike - Clothing & Accessories - Retail Park #4695,308.75,Shopping
07/10/2025 19:30:00,AutoWash Pro - Monthly Pass #1584,18.45,Transportation
07/11/2025 14:00:00,CleanPro Services - HOA Assessment,2311.0,Housing
07/11/2025 18:44:00,Haircut & Style - Quick Wash Laundry,123.0,Personal
07/12/2025 13:45:00,Food Truck (Main Square),59.43,Dining
07/12/2025 14:30:00,Spotify - Family Plan,15.19,Entertainment
07/12/2025 14:45:58,Style Cut Salon Laundromat - Haircut & Style,103.75,Personal
07/12/2025 16:30:00,Dick's Sporting Goods Fashion District - Pet Food & Toys,125.0,Personal
07/12/2025 18:09:12,Dairy Products - Whole Foods Market #3705,40.87,Groceries
07/12/2025 21:00:00,Monthly Subscription - Ticketmaster,104.99,Entertainment
07/13/2025 14:00:32,Solar Energy Inc (Installation Team),223.99,Utilities
07/13/2025 15:45:00,Office Depot Registrar Office - Tuition Payment #7548,1259.99,Education
07/13/2025 17:45:23,Walmart - Snacks & Beverages - Main St #2851,102.81,Groceries
07/13/2025 18:26:00,Safeway - Snacks & Beverages,301.0,Groceries
07/14/2025 09:30:00,Fuel & Snacks at Uber,25.51,Transportation
07/14/2025 10:15:37,Best Buy - Clothing & Accessories - Online Order,387.75,Shopping
07/14/2025 11:00:00,Household Items at Local Market,34.27,Groceries
07/14/2025 13:30:42,State University - Workshop Fee - Learning Center #3919,33.93,Education
07/14/2025 14:30:56,Duolingo Plus Main Library - Online Course,524.99,Education
07/15/2025 09:00:00,Property Management Co - Home Insurance,1083.25,Housing
07/15/2025 11:45:09,Sephora Beauty (Beauty Counter),141.95,Personal
07/15/2025 14:00:00,Pacific Gas & Electric - Monthly Bill,90.23,Utilities
07/15/2025 14:15:00,Walmart - Home Improvement - Outlet Center,309.95,Shopping
07/15/2025 14:30:00,Office Depot Digital Download - Software License,27.65,Education
07/15/2025 17:45:00,Happy Hour at Corner Café,23.88,Dining
07/15/2025 18:15:00,Local Market - Fresh Bread #9988,121.75,Groceries
07/15/2025 20:15:00,Office Depot - Language Learning,177.5,Education
07/16/2025 11:30:00,PetSmart Beauty Counter - Birthday Gift,61.17,Personal
07/16/2025 15:00:44,Late Fee Waived at Pacific Gas & Electric,177.99,Utilities
07/16/2025 18:00:43,Netflix Streaming - Live Performance,120.0,Entertainment
07/16/2025 20:30:00,Amazon - Books & Media,170.75,Shopping
07/17/2025 10:30:52,Equipment Rental at Waste Management,361.99,Utilities
07/17/2025 10:45:00,County Tax Office Apt 4B - Deep Cleaning,1014.0,Housing
07/17/2025 10:45:19,Personal Care - Amazon,19.58,Shopping
07/17/2025 19:47:00,City Parking Business District - Round Trip,4.73,Transportation
07/18/2025 08:00:16,Target (Downtown),91.82,Groceries
07/18/2025 09:08:00,Blood Work - Vision Center,1094.95,Health
07/18/2025 15:30:00,Craft Supplies at Personal Care Plus #7757,139.95,Personal
07/18/2025 15:30:00,IKEA - Books & Media,515.5,Shopping
07/19/2025 07:15:49,Weekend Trip at Uber,68.16,Transportation
07/19/2025 10:30:27,Workshop Central - Workshop Fee - Digital Download,192.0,Education
07/19/2025 14:30:00,Workshop Central (Student Center),109.95,Education
07/19/2025 17:00:00,Bulk Items - Safeway,169.25,Groceries
07/20/2025 09:00:00,Bright Dental (Wellness Center),358.75,Health
07/20/2025 11:30:00,Study Materials - Skillshare,210.95,Education
07/20/2025 14:59:56,Pet Food & Toys - Bliss Spa,210.95,Personal
07/21/2025 10:00:00,Annual Contract at ADT Security #7031,143.25,Utilities
07/21/2025 10:00:00,Gift Gallery - Haircut & Style #1642,108.0,Personal
07/21/2025 14:30:00,Target (Flagship Store) #6366,134.0,Shopping
07/21/2025 18:15:00,Hobby Lobby Main St Salon - Haircut & Style,89.11,Personal
07/21/2025 18:36:00,H&M Fashion (Fashion District),146.0,Personal
07/21/2025 19:40:00,Panera Bread (Drive-Thru),40.75,Dining
07/21/2025 20:15:00,Amazon Books (Student Center),1024.0,Education
07/22/2025 10:00:51,Natural Gas Co Meter Reading - Equipment Rental,55.18,Utilities
07/22/2025 11:00:00,Verizon Wireless - Family Plan,189.17,Utilities
07/22/2025 20:45:46,Burger Joint Riverside - Late Night Snack,172.5,Dining
07/22/2025 21:45:32,Workshop Central (Student Center),181.5,Education
07/23/2025 17:00:12,Trader Joe's Mall Plaza - Snacks & Beverages #5225,230.95,Groceries
07/23/2025 18:45:00,Corner Café - Coffee & Pastry,101.0,Dining
07/23/2025 19:11:00,Uber Airport - Fuel & Snacks,58.56,Transportation
07/24/2025 09:15:00,Farm Fresh Shopping Center - Dairy Products,174.99,Groceries
07/24/2025 11:17:00,Dr. Smith's Office - Blood Work - Health Store,795.5,Health
07/24/2025 14:30:13,Health Plus Insurance Online - Blood Work #1978,24.28,Health
07/24/2025 18:30:48,Dick's Sporting Goods Personal Care - Workout Gear,15.82,Personal
07/25/2025 10:54:34,Monthly Rent - Swift Movers #6861,1903.25,Housing
07/25/2025 16:00:59,Pet Food & Toys at Dick's Sporting Goods,82.51,Personal
07/25/2025 17:45:00,Lyft (City Center),3.93,Transportation
07/25/2025 20:00:00,GameStop Gaming Center - Premium Plan #7218,10.6,Entertainment
07/26/2025 15:30:00,Property Management Co (Apt 4B) #5335,3423.5,Housing
07/27/2025 14:30:00,Clothing & Accessories - Best Buy,101.95,Shopping
07/27/2025 18:44:00,Organic Produce - Walmart #6725,97.79,Groceries
07/27/2025 19:15:03,Electronics at IKEA,89.05,Shopping
07/28/2025 10:15:10,State Farm Insurance - Home Insurance,1665.99,Housing
07/28/2025 10:30:00,Birthday Gift - Dick's Sporting Goods,98.54,Personal
07/28/2025 19:23:00,Target - Personal Care - Super Center #7336,396.99,Shopping
07/29/2025 09:45:00,Deep Cleaning at State Farm Insurance #6354,3231.0,Housing
07/29/2025 11:03:00,H&M Fashion - Craft Supplies,144.99,Personal
07/29/2025 11:30:00,County Tax Office (Community Center),1250.5,Housing
07/29/2025 14:00:00,Heating Solutions - Late Fee Waived,250.99,Utilities
07/29/2025 14:45:04,Gift Gallery Gift Shop - Haircut & Style,17.83,Personal
07/29/2025 21:15:00,Season Pass - Barnes & Noble #8614,14.85,Entertainment
07/30/2025 08:30:00,Weekend Trip - Bridge Authority,85.39,Transportation
07/30/2025 11:15:00,Workshop Central Digital Download - Language Learning,31.78,Education
07/30/2025 13:45:00,Subway (Main Square),71.55,Dining
07/30/2025 14:15:00,Eye Exam at Dr. Smith's Office,339.99,Health
07/30/2025 15:10:00,County Tax Office - Plumbing Repair - Community Center,1553.25,Housing
07/30/2025 19:15:00,Sports Equipment at Target,141.99,Shopping
07/31/2025 17:00:07,Trader Joe's (North Branch),164.0,Groceries
07/31/2025 18:30:00,Style Cut Salon - Haircut & Style #8625,95.85,Personal
08/01/2025 09:00:00,First National Bank - Mortgage Payment,2203.72,Housing
08/01/2025 09:30:00,FitLife Gym - Monthly Membership,48.78,Health
08/01/2025 10:00:00,City Water Dept - Service Charge,46.94,Utilities
08/01/2025 11:15:00,Equipment Rental - Comcast Internet,227.0,Utilities
08/01/2025 13:00:00,Property Management Co - Monthly Rent,1819.58,Housing
08/01/2025 15:00:00,Health Plus Insurance - Premium,279.24,Health
08/01/2025 19:15:00,Target Online Order - Home Improvement,48.07,Shopping
08/01/2025 22:30:00,Steam - Movie Tickets #2343,30.27,Entertainment
08/02/2025 08:30:00,Food Truck (Drive-Thru) #7878,48.3,Dining
08/02/2025 14:00:00,Comcast Internet - Emergency Repair,93.9,Utilities
08/03/2025 14:00:00,Netflix - Premium Plan,16.16,Entertainment
08/03/2025 15:20:28,Solar Energy Inc Service Address - Service Upgrade,117.5,Utilities
08/03/2025 20:45:00,Skillshare (Registrar Office),200.75,Education
08/03/2025 21:00:00,Takeout Order - Burger Joint,36.66,Dining
08/04/2025 15:15:04,Comcast Internet - Service Charge,202.95,Utilities
08/04/2025 15:15:32,Amazon Books - Study Materials #5743,80.79,Education
08/04/2025 17:34:00,Local Bistro - Coffee & Pastry - Main Square,41.21,Dining
08/04/2025 21:45:00,Burger Joint Mall - Business Lunch,76.18,Dining
08/05/2025 16:53:00,Target (Outlet Center) #2836,523.99,Shopping
08/05/2025 19:31:00,Ticketmaster - Gaming Bundle #2345,14.94,Entertainment
08/05/2025 19:45:00,Sports Equipment at Macy's #8122,259.95,Shopping
08/05/2025 20:15:00,Local Market (Village Square) #9997,119.75,Groceries
08/06/2025 10:00:00,Style Cut Salon (Laundromat),52.38,Personal
08/06/2025 15:15:00,City Library Mobile App - Software License,100.95,Education
08/06/2025 15:30:00,Haircut & Style - Dick's Sporting Goods,100.0,Personal
08/06/2025 17:30:00,Starbucks - Quick Breakfast - Beachside,162.75,Dining
08/06/2025 18:30:00,Walmart (Westside) #7860,84.22,Groceries
08/06/2025 21:00:00,Monthly Subscription at HBO Max,15.51,Entertainment
08/07/2025 11:15:00,Waste Management - Emergency Repair #2899,279.99,Utilities
08/07/2025 14:00:00,Urgent Care Visit at Health Plus Insurance #6799,496.75,Health
08/07/2025 18:23:45,GameStop Bookstore Café - Season Pass,27.79,Entertainment
08/08/2025 09:30:00,Home & Garden - Monthly Rent #1898,1591.25,Housing
08/08/2025 12:00:00,Comcast Internet - Monthly Plan,82.98,Utilities
08/08/2025 19:00:52,Movie Tickets at Spotify,194.5,Entertainment
08/09/2025 14:45:00,Emergency Repair at Pacific Gas & Electric,36.05,Utilities
08/09/2025 15:15:00,Sports Equipment - Amazon,54.28,Shopping
08/09/2025 15:15:00,Equipment Rental - Waste Management,440.0,Utilities
08/09/2025 17:15:12,Meat & Seafood at Whole Foods Market,140.95,Groceries
08/09/2025 18:45:11,Panera Bread - Lunch Special - Mall,132.0,Dining
08/09/2025 19:00:00,Style Cut Salon - Dry Cleaning,17.13,Personal
08/09/2025 20:15:48,Aldi - Bulk Items,158.75,Groceries
08/10/2025 09:00:00,Health Plus Insurance (Dental Center),68.56,Health
08/10/2025 09:45:53,Trader Joe's - Frozen Foods - Village Square,124.75,Groceries
08/10/2025 20:45:28,Frozen Foods at Aldi #9767,48.22,Groceries
08/11/2025 10:30:00,Wellness Therapy - Therapy Session,264.25,Health
08/11/2025 16:15:00,Bliss Spa - Spa Package - Main St Salon,96.48,Personal
08/11/2025 17:00:00,Fuel & Snacks - AutoWash Pro,102.99,Transportation
08/11/2025 18:51:00,Ride to Airport - Bridge Authority #1244,51.2,Transportation
08/11/2025 21:30:00,Season Pass at Barnes & Noble,16.53,Entertainment
08/12/2025 09:29:46,Workshop Fee at Coursera,584.99,Education
08/12/2025 10:30:00,PetSmart - Dry Cleaning - Pet Center,86.03,Personal
08/12/2025 10:32:00,Craft Supplies - Dick's Sporting Goods,29.17,Personal
08/12/2025 13:00:00,City Library (Online Platform),31.68,Education
08/12/2025 15:00:00,Spotify - Family Plan,15.31,Entertainment
08/12/2025 17:45:00,Uber Business District - Round Trip #3124,82.37,Transportation
08/12/2025 18:15:00,Lunch Special at McDonald's,7.29,Dining
08/12/2025 18:30:49,Aldi (North Branch),121.0,Groceries
08/13/2025 07:15:00,Metro Transit (Station #42) #5204,11.05,Transportation
08/13/2025 09:30:00,CleanPro Services - Home Insurance - Residential,1323.25,Housing
08/13/2025 14:00:00,Health Plus Insurance (Walk-in Clinic) #2033,888.25,Health
08/13/2025 15:30:00,Pacific Gas & Electric - Installation - Customer Service #8360,213.5,Utilities
08/14/2025 10:30:00,Costco - Frozen Foods #4777,126.5,Groceries
08/14/2025 10:45:50,Kitchen Appliances - Walmart #6499,281.75,Shopping
08/14/2025 14:15:00,PetSmart (Main St Salon),213.0,Personal
08/14/2025 14:45:00,Sephora Beauty - New Outfit,42.74,Personal
08/14/2025 14:45:14,Beauty Products at Gift Gallery,18.83,Personal
08/15/2025 09:19:09,Swift Movers - Plumbing Repair #6809,2471.5,Housing
08/15/2025 10:30:55,Property Management Co Home Visit - Mortgage Payment,2307.0,Housing
08/15/2025 11:00:00,Pacific Gas & Electric - Monthly Bill,93.32,Utilities
08/15/2025 19:15:00,Ride to Airport at AutoWash Pro #2429,68.19,Transportation
08/15/2025 20:45:25,Annual Membership - Spotify,229.75,Entertainment
08/16/2025 09:15:00,Greenwood HOA (Home Visit),1693.95,Housing
08/16/2025 18:30:00,Personal Care at Quick Wash Laundry,111.0,Personal
08/17/2025 20:45:00,Coursera (Mobile App),337.5,Education
08/17/2025 21:16:43,Workshop Fee at Coursera,568.99,Education
08/18/2025 09:50:00,CleanPro Services (Tax Office),1887.5,Housing
08/18/2025 11:00:20,Swift Movers - Living Room Set,2579.99,Housing
08/18/2025 18:04:00,AutoWash Pro - Round Trip - Shopping Mall,18.16,Transportation
08/18/2025 19:15:00,Sephora Beauty Day Spa - Dry Cleaning,152.75,Personal
08/18/2025 19:55:00,Subway (Mall) #1438,23.51,Dining
08/18/2025 20:45:00,Skillshare Digital Download - Tuition Payment,542.0,Education
08/19/2025 10:15:00,Pacific Gas & Electric Regional Office - Seasonal Adjustment,55.03,Utilities
08/19/2025 10:30:00,Waste Management - Installation,263.0,Utilities
08/19/2025 11:30:00,Skillshare (Digital Download),783.99,Education
08/19/2025 15:30:00,Personal Care Plus - New Outfit - Beauty Counter,231.0,Personal
08/19/2025 15:53:00,Amazon - Home Improvement,650.99,Shopping
08/19/2025 19:00:00,AutoWash Pro Station #42 - Monthly Pass,18.35,Transportation
08/20/2025 06:00:33,Amtrak (Garage Level 3),4.5,Transportation
08/20/2025 14:15:00,Tuition Payment at Workshop Central,431.5,Education
08/20/2025 14:20:19,Heating Solutions - Installation,55.77,Utilities
08/20/2025 17:15:00,Target Mall Plaza - Household Items #1216,107.25,Groceries
08/21/2025 18:45:00,Lyft City Center - Weekend Trip,117.0,Transportation
08/21/2025 21:15:00,Chipotle (Riverside),24.57,Dining
08/22/2025 10:30:00,Verizon Wireless - Family Plan,192.04,Utilities
